Title,Value,Note,Suffix
Latest NEET Rate,13.4,Percentage of young people aged 16-24 who are NEET as at Oct-Dec 2024 (seasonally adjusted),%
Latest NEET Rate - Men,14.4,Percentage of young men aged 16-24 who are NEET as at Oct-Dec 2024 (seasonally adjusted),%
Latest NEET Rate - Women,12.3,Percentage of young women aged 16-24 who are NEET as at Oct-Dec 2024 (seasonally adjusted),%
