geography_code,Claimants percentage
E14000530,2.5592608427153105
E14000531,2.137354378053363
E14000532,1.5231014074700353
E14000533,2.136473776087126
E14000534,1.481524857996135
E14000535,2.907241882524626
E14000536,2.590465480541387
E14000537,4.73905138762633
E14000538,3.033447752853836
E14000539,2.350112310630424
E14000540,8.264825916307043
E14000541,2.7583112272505312
E14000542,2.4706808241623555
E14000543,1.9118591085433587
E14000544,3.242901210155817
E14000545,2.696912687451744
E14000546,2.4686093874482435
E14000547,1.6567769226249929
E14000548,3.9112098675857054
E14000549,3.7316765747972886
E14000550,1.9772674891128983
E14000551,2.1179080146449665
E14000552,5.099153481572308
E14000553,4.839040717409495
E14000554,1.5615287821591546
E14000555,6.787830024216896
E14000556,1.5440647800002358
E14000557,1.8639892669408584
E14000558,2.889525141507567
E14000559,4.397088823951039
E14000560,6.471607493807492
E14000561,9.846854511786198
E14000562,10.532701003639572
E14000563,12.933207654705276
E14000564,13.291394399556534
E14000565,6.057489716063008
E14000566,11.84474630070485
E14000567,5.32362782246449
E14000568,9.832419328265116
E14000569,2.3019271948608138
E14000570,5.85050437443228
E14000571,7.966348380267714
E14000572,3.32705861751959
E14000573,4.947007530096905
E14000574,2.3092466082940444
E14000575,2.938456065457133
E14000576,2.952185731473642
E14000577,2.2787239146078195
E14000578,5.244732908303415
E14000579,5.877188704092084
E14000580,2.649647775187577
E14000581,4.444333785651151
E14000582,3.0659057849390177
E14000583,1.8926437725179004
E14000584,3.4140930990260303
E14000585,3.272155806252455
E14000586,2.289346758240537
E14000587,9.08467603702434
E14000588,6.130401330321908
E14000589,9.615491378257442
E14000590,1.995850572062945
E14000591,9.672182113371791
E14000592,5.742191186184769
E14000593,4.673027047054465
E14000594,2.015237469518744
E14000595,1.9576680594878488
E14000596,1.948907389550597
E14000597,3.649234149020565
E14000598,3.248994842220688
E14000599,3.5054174633524537
E14000600,2.940512540246409
E14000601,3.5114232376211216
E14000602,3.4203355224552463
E14000603,1.534399086497288
E14000604,3.215392055628897
E14000605,1.8795615983596556
E14000606,2.79949743226924
E14000607,2.134813793437111
E14000608,1.800210590672871
E14000609,5.021347820536461
E14000610,3.16297558205565
E14000611,3.9341718845237432
E14000612,3.150720970146449
