geography_code,Claimants percentage
E14000530,3.6374974017875696
E14000531,4.760509740735316
E14000532,2.2313564298297126
E14000533,4.339322821171006
E14000534,2.467982924226254
E14000535,6.360564500099383
E14000536,4.2461005199306765
E14000537,7.284134410888983
E14000538,3.9559071917503776
E14000539,3.1764495347172508
E14000540,7.747665975103734
E14000541,5.5464736104624
E14000542,4.951584507042254
E14000543,3.924547411064692
E14000544,5.487937404911976
E14000545,4.082194294101458
E14000546,4.731363684155189
E14000547,1.0034158838599487
E14000548,6.779967456156211
E14000549,4.132990448199854
E14000550,2.5935531678399406
E14000551,2.7020072053525475
E14000552,6.066093254866456
E14000553,3.801611278952669
E14000554,3.797244789826916
E14000555,5.499061668048706
E14000556,3.7401820221917466
E14000557,3.825136612021858
E14000558,4.828205704019762
E14000559,7.970302434763621
E14000560,5.203457959363471
E14000561,12.682069311903565
E14000562,9.99694283093855
E14000563,11.265072984979902
E14000564,8.17836627397527
E14000565,9.536411753969702
E14000566,11.741882785378802
E14000567,4.072594994266735
E14000568,11.282877866510368
E14000569,5.03030303030303
E14000570,6.976744186046512
E14000571,8.651169788610547
E14000572,7.219471947194719
E14000573,8.845615374824996
E14000574,4.81283422459893
E14000575,6.2905317769131
E14000576,4.983576849020274
E14000577,5.090311986863712
E14000578,7.121807465618861
E14000579,7.510279432743141
E14000580,4.891684136967156
E14000581,7.924256457754451
E14000582,6.468094358082401
E14000583,3.1561461794019934
E14000584,3.51288056206089
E14000585,2.671339116447406
E14000586,3.128162664458552
E14000587,11.463903743315509
E14000588,9.64425438995542
E14000589,9.407722513089006
E14000590,3.6007090627077334
E14000591,8.324924318869828
E14000592,5.1853409011281615
E14000593,5.2526062550120285
E14000594,2.7208521477364824
E14000595,4.051697610011283
E14000596,4.337648030845497
E14000597,3.548121396439207
E14000598,2.274866645748353
E14000599,4.120148856990962
E14000600,3.5383380754359086
E14000601,5.22466039707419
E14000602,1.559852620821343
E14000603,3.145429875416307
E14000604,4.834761321909425
E14000605,3.781871416371843
E14000606,3.644389693049995
E14000607,3.229538224235997
E14000608,2.042483660130719
E14000609,8.137220465987589
E14000610,4.369957741067998
E14000611,6.673570360142676
E14000612,5.30035335689046
E14000613,2.9492912187232423
E14000614,4.590200199093021
E14000615,8.479709267110842
E14000616,3.5031528375537984
E14000617,1.3617278813783713
E14000618,4.856441455865087
E14000619,2.1795989537925022
E14000620,2.573844833925726
E14000621,4.701356982583609
E14000622,3.4391215156268853
E14000623,3.0762920426579163
E14000624,2.310640216411181
E14000625,2.911208151382824
E14000626,5.545856013145733
E14000627,2.1899637091728192
E14000628,3.899191631003328
E14000629,2.316052022091573
E14000630,3.038651648974961
E14000631,2.116741500962155
E14000632,5.21388790141012
E14000633,3.5901416650494857
E14000634,5.717689100655152
E14000635,3.614157527417747
E14000636,3.6252354048964217
E14000637,4.047254430102822
